CommonName	SciName	Location	Study_year_min	Study_year_max	Study_year_pub	Arrival_date_min	Arrival_date_mean	Arrival_date_max	Nest_build_date_min	Nest_build_date_peak	Nest_build_date_max	Egg_laying_date_min	Egg_laying_date_max	Pair_form_d_min	Pair_form_d_max	Site_selec_d_min	Site_selec_d_max	Nest_build_d_min	Nest_build_d_mean	Nest_build_d_max	Pre_laying_d_min	Pre_laying_d_max	Egg_laying_d_min	Egg_laying_d_max	Incubation_d_min	Incubation_d_max	Nestling_d_min	Nestling_d_max	Post_fledging_d_min	Post_fledging_d_max	Source	Notes
Red-eyed Vireo	Vireo olivaceus	Ontario			1953				28-May-53					3	15			4		5	1	4	3	4							Lawrence 1953	
Red-eyed Vireo	Vireo olivaceus	Illinois			1985				7-May-85			15-May-85																			Graber et al. 1985	
Red-eyed Vireo	Vireo olivaceus	NE Ontario			1974							24-May-74																			Rice 1974	
Red-eyed Vireo	Vireo olivaceus	British Columbia			1997							23-May-97	19-Jul-97			5	6														Campbell et al. 1997	
Red-eyed Vireo	Vireo olivaceus																						3	4	12	14	10	12	15	16	BNA	
Yellow Warbler	Setophaga petechia													1	1	NA	NA	3		10	NA	NA	4	5	10	13	8	10	17	21	BNA	
Eastern Wood-Pewee	Contopus virens													NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	12	14	16	18	NA	NA	BNA	
Acadian Flycatcher	Empidonax virescens													4	7	3	10	NA	3.38	14	NA	NA	1	4	13	15	NA	14	NA	NA	BNA	
Great Crested Flycatcher	Myiarchus crinitus													NA	NA	6	28	2	NA	4	NA	NA	4	5	13	15	13	16	9	21	BNA	
Eastern Wood-Pewee	Contopus virens													NA	NA	NA	NA	4	6	10	NA	NA	2	4	12	14	11	18	21	28	BNA	
Red-eyed Vireo	Vireo olivaceus													3	15	NA	NA	4	NA	5	1	4	3	4	12	14	10	12	15	16	BNA	
Blue-headed Vireo	Vireo solitarius													1	16	1	28	NA	NA	8	NA	NA	3	4	13	14	12	13	14	28	BNA	
Warbling Vireo	Vireo gilvus													1	4	2	7	6	NA	7	1	4	3	4	13	14	13	14	NA	14	BNA	
Yellow-throated Vireo	Vireo flavifrons													1	3	NA	NA	NA	NA	8	NA	1	3	4	13	16	13	NA	14	28	BNA	
Veery	Catharus fuscescens													7	NA	NA	NA	NA	NA	NA	NA	4	2	4	10	14	10	12	14	17	BNA	
Gray Catbird	Dumetella carolinensis													1	NA	NA	NA	5	NA	6	1	6	1	5	12	15	8	15	NA	12	BNA	
Yellow-throated Warbler	Setophaga dominica													NA	11	NA	NA	NA	NA	NA	NA	11	3	5	12	13	NA	10	NA	NA	BNA	
Swainson's Warbler	Limnothlypis swainsonii													1	7	3	4	2	NA	5	2	3	3	4	11	15	8	12	NA	21	BNA	
Hooded Warbler	Setophaga citrina													NA	NA	NA	NA	2	NA	6	NA	NA	2	5	12	NA	8	9	21	35	BNA	
Kentucky Warbler	Geothlypis formosa													0	1	0	7	1	NA	2	1	NA	3	6	11	13	7	10	NA	30	BNA	
Louisiana Waterthrush	Parkesia motacilla													0	7	1	NA	1	NA	14	0	7	1	5	12	14	9	11	21	28	BNA	
Nothern Waterthrush	Parkesia noveboracensis													0	NA	NA	NA	NA	NA	NA	NA	NA	1	6	12	NA	9	NA	28	35	BNA	
Black-and-white Warbler	Mniotilta varia													NA	NA	NA	NA	NA	NA	NA	NA	NA	4	5	10	12	8	12	NA	NA	BNA	
Northern Parula	Setophaga americana													NA	NA	NA	NA	1	NA	4	NA	NA	2	7	12	14	10	11	NA	NA	BNA	
American Redstart	Setophaga ruticilla													0	2	0	NA	3	NA	10	NA	NA	3	5	10	13	7	9	NA	21	BNA	
Worm-eating Warbler	Helmitheros vermivorum													NA	7	NA	NA	4	NA	5	1	2	4	6	11	17	5	10	NA	21	BNA	
"Black-throated Green Warbler, subspecies waynei"	Setophaga virens waynei													NA	NA	NA	NA	4	NA	8	0	1	3	5	12	NA	8	11	2	NA	BNA	
Black-throated Blue Warbler	Setophaga caerulescens													NA	NA	3	14	4	NA	5	NA	NA	2	5	12	13	8	10	14	28	BNA	
Prothonotary Warbler	Protonotaria citrea													NA	NA	NA	NA	3.3	NA	8.8	NA	NA	3	7	12	14	9	10	NA	35	BNA	
Cerulean Warbler	Setophaga cerulea													NA	NA	NA	NA	2	5.4	11	NA	NA	2	5	11	12	8	11	NA	NA	BNA	
Ovenbird	Seiurus aurocapilla													NA	NA	NA	NA	5	NA	NA	NA	NA	3	6	NA	14	8	10	NA	NA	BNA	
Canada Warbler	Cardellina canadensis													NA	NA	NA	NA	3	NA	5	NA	NA	2	6	11	12	8	NA	12	18	BNA	
Scarlet Tanager	Piranga olivacea													0	NA	NA	7	3	NA	4	NA	2	3	5	12	14	9	12	10	14	BNA	
Summer Tanager	Piranga rubra													0	1	NA	NA	4	NA	18	NA	NA	3	4	11	12	9	12	21	NA	BNA	
Rose-breasted Grosbeak	Pheucticus ludovicianus													NA	NA	NA	NA	2	NA	5	NA	NA	1	5	11	14	9	12	21	NA	BNA	
