repo_code,NoQuotes,TAXON_ORDER,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY
"""Coccyzus_americanus""",Coccyzus_americanus,3123,Yellow-billed Cuckoo,Coccyzus americanus,Cuculiformes,Cuculidae (Cuckoos)
"""Coccyzus_erythropthalmus""",Coccyzus_erythropthalmus,3128,Black-billed Cuckoo,Coccyzus erythropthalmus,Cuculiformes,Cuculidae (Cuckoos)
"""Antrostomus_vociferus""",Antrostomus_vociferus,3517,Eastern Whip-poor-will,Antrostomus vociferus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
"""Archilochus_colubris""",Archilochus_colubris,4636,Ruby-throated Hummingbird,Archilochus colubris,Caprimulgiformes,Trochilidae (Hummingbirds)
"""Elanoides_forficatus""",Elanoides_forficatus,7350,Swallow-tailed Kite,Elanoides forficatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
"""Ictinia_mississippiensis""",Ictinia_mississippiensis,7573,Mississippi Kite,Ictinia mississippiensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
"""Sphyrapicus_varius""",Sphyrapicus_varius,10484,Yellow-bellied Sapsucker,Sphyrapicus varius,Piciformes,Picidae (Woodpeckers)
"""Contopus_cooperi""",Contopus_cooperi,15606,Olive-sided Flycatcher,Contopus cooperi,Passeriformes,Tyrannidae (Tyrant Flycatchers)
"""Contopus_virens""",Contopus_virens,15624,Eastern Wood-Pewee,Contopus virens,Passeriformes,Tyrannidae (Tyrant Flycatchers)
"""Empidonax_flaviventris""",Empidonax_flaviventris,15665,Yellow-bellied Flycatcher,Empidonax flaviventris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
"""Empidonax_virescens""",Empidonax_virescens,15666,Acadian Flycatcher,Empidonax virescens,Passeriformes,Tyrannidae (Tyrant Flycatchers)
"""Empidonax_alnorum""",Empidonax_alnorum,15667,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers)
"""Empidonax_traillii""",Empidonax_traillii,15668,Willow Flycatcher,Empidonax traillii,Passeriformes,Tyrannidae (Tyrant Flycatchers)
"""Empidonax_minimus""",Empidonax_minimus,15679,Least Flycatcher,Empidonax minimus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
"""Sayornis_phoebe""",Sayornis_phoebe,15722,Eastern Phoebe,Sayornis phoebe,Passeriformes,Tyrannidae (Tyrant Flycatchers)
"""Myiarchus_crinitus""",Myiarchus_crinitus,16036,Great Crested Flycatcher,Myiarchus crinitus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
"""Tyrannus_tyrannus""",Tyrannus_tyrannus,16168,Eastern Kingbird,Tyrannus tyrannus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
"""Vireo_griseus""",Vireo_griseus,19139,White-eyed Vireo,Vireo griseus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
"""Vireo_bellii""",Vireo_bellii,19167,Bell's Vireo,Vireo bellii,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
"""Vireo_flavifrons""",Vireo_flavifrons,19190,Yellow-throated Vireo,Vireo flavifrons,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
"""Vireo_solitarius""",Vireo_solitarius,19196,Blue-headed Vireo,Vireo solitarius,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
"""Vireo_philadelphicus""",Vireo_philadelphicus,19211,Philadelphia Vireo,Vireo philadelphicus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
"""Vireo_gilvus""",Vireo_gilvus,19212,Warbling Vireo,Vireo gilvus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
"""Vireo_olivaceus""",Vireo_olivaceus,19232,Red-eyed Vireo,Vireo olivaceus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
"""Stelgidopteryx_serripennis""",Stelgidopteryx_serripennis,21376,Northern Rough-winged Swallow,Stelgidopteryx serripennis,Passeriformes,Hirundinidae (Swallows)
"""Progne_subis""",Progne_subis,21390,Purple Martin,Progne subis,Passeriformes,Hirundinidae (Swallows)
"""Tachycineta_bicolor""",Tachycineta_bicolor,21413,Tree Swallow,Tachycineta bicolor,Passeriformes,Hirundinidae (Swallows)
"""Riparia_riparia""",Riparia_riparia,21444,Bank Swallow,Riparia riparia,Passeriformes,Hirundinidae (Swallows)
"""Hirundo_rustica""",Hirundo_rustica,21491,Barn Swallow,Hirundo rustica,Passeriformes,Hirundinidae (Swallows)
"""Petrochelidon_pyrrhonota""",Petrochelidon_pyrrhonota,21582,Cliff Swallow,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae (Swallows)
"""Troglodytes_aedon""",Troglodytes_aedon,22326,House Wren,Troglodytes aedon,Passeriformes,Troglodytidae (Wrens)
