"","model","sim","year","hm_jday","max_jday","max_val","first","median","diff_hm","diff_max","n.surveys"
"2","independent",1,"1",133,140,0.139253213221083,121,143,-1,-2,9500
"3","independent",1,"2",134,141,0.135732837385259,125,144,1,0,8750
"4","independent",1,"3",132,138,0.131073405136816,123,142,0,-2,8000
"5","independent",1,"4",130,137,0.111318448707036,123,141,-1,-2,7250
"6","independent",1,"5",129,138,0.101575077422039,123,142,-1,0,6500
"7","independent",1,"6",127,135,0.0969122757047109,120,141,-2,-2,5750
"8","independent",1,"7",129,137,0.113586347510432,120,142,1,1,5000
"9","independent",1,"8",128,134,0.151051840117878,123,137,1,-1,4250
"10","independent",1,"9",125,134,0.108591359816184,116,136,-1,0,3500
"11","independent",1,"10",122,132,0.109784328852642,114,133,-3,-1,2750
"12","independent",1,"11",125,131,0.0981227871015738,117,136,1,-1,2000
"13","independent",1,"12",120,128,0.0973064171550163,120,133,-3,-3,1250
"14","independent",1,"13",122,137,0.0556218916327567,125,136,0,7,500
"15","hierarchical",1,"1",132,139,0.118127429992454,121,143,-2,-3,9500
"16","hierarchical",1,"2",132,139,0.123860593020365,125,144,-1,-2,8750
"17","hierarchical",1,"3",131,138,0.12659863335884,123,142,-1,-2,8000
"18","hierarchical",1,"4",131,138,0.12689114230532,123,141,0,-1,7250
"19","hierarchical",1,"5",130,137,0.124951863156777,123,142,0,-1,6500
"20","hierarchical",1,"6",129,136,0.120971355185419,120,141,0,-1,5750
"21","hierarchical",1,"7",128,136,0.116982477952614,120,142,0,0,5000
"22","hierarchical",1,"8",127,135,0.113009610426567,123,137,0,0,4250
"23","hierarchical",1,"9",126,134,0.109960003023676,116,136,0,0,3500
"24","hierarchical",1,"10",124,133,0.108407477050375,114,133,-1,0,2750
"25","hierarchical",1,"11",123,132,0.108460338493089,117,136,-1,0,2000
"26","hierarchical",1,"12",122,131,0.109841230602894,120,133,-1,0,1250
"27","hierarchical",1,"13",121,130,0.111896453224138,125,136,-1,0,500
"28","independent",2,"1",135,142,0.144060604352022,123,145,1,0,9500
"29","independent",2,"2",132,140,0.109243978779664,119,143,-1,-1,8750
"30","independent",2,"3",132,139,0.14405820862863,119,142,0,-1,8000
"31","independent",2,"4",130,138,0.0960031714860389,126,144,-1,-1,7250
"32","independent",2,"5",129,136,0.139374118364653,113,139,-1,-2,6500
"33","independent",2,"6",128,136,0.0960173526590881,119,140,-1,-1,5750
"34","independent",2,"7",126,133,0.103511738119247,120,139,-2,-3,5000
"35","independent",2,"8",128,135,0.11838928989345,120,139,1,0,4250
"36","independent",2,"9",126,133,0.125006998863034,125,139,0,-1,3500
"37","independent",2,"10",124,134,0.0773978899512374,117,137,-1,1,2750
"38","independent",2,"11",124,132,0.113847943872056,122,134,0,0,2000
"39","independent",2,"12",123,132,0.0767396486435194,124,149,0,1,1250
"40","independent",2,"13",124,138,0.0574053910443282,128,134,2,8,500
"41","hierarchical",2,"1",132,140,0.114947097926212,123,145,-2,-2,9500
"42","hierarchical",2,"2",131,139,0.117669205662262,119,143,-2,-2,8750
"43","hierarchical",2,"3",131,139,0.118554710722633,119,142,-1,-1,8000
"44","hierarchical",2,"4",130,138,0.118095996972789,126,144,-1,-1,7250
"45","hierarchical",2,"5",129,137,0.116298064458847,113,139,-1,-1,6500
"46","hierarchical",2,"6",128,136,0.113974312476531,119,140,-1,-1,5750
