"","model","sim","year","hm_jday","max_jday","max_val","first","median","diff_hm","diff_max","n.surveys"
"2","independent",1,"1",120,130,0.317561823646825,105,129,0,0,9500
"3","independent",1,"2",119,128,0.365872587583027,105,129,0,-1,8750
"4","independent",1,"3",118,127,0.345564479147077,104,128,0,-1,8000
"5","independent",1,"4",116,127,0.323654549124294,109,127,-1,0,7250
"6","independent",1,"5",116,127,0.329113088638026,110,127,0,1,6500
"7","independent",1,"6",115,124,0.2901177508247,105,126,0,-1,5750
"8","independent",1,"7",114,122,0.362492732988684,104,125,0,-2,5000
"9","independent",1,"8",112,122,0.324096038207079,102,122.5,-1,-1,4250
"10","independent",1,"9",114,121,0.339729792654918,109,123,2,-1,3500
"11","independent",1,"10",111,124,0.307888652062134,107,123,0,3,2750
"12","independent",1,"11",112,119,0.39873490872378,105,121,2,-1,2000
"13","independent",1,"12",108,116,0.354726414452437,107,121,-1,-3,1250
"14","independent",1,"13",109,119,0.387399046741614,108,122,1,1,500
"15","hierarchical",1,"1",120,130,0.3479920284699,105,129,0,2,9500
"16","hierarchical",1,"2",119,129,0.343262112633212,105,129,0,2,8750
"17","hierarchical",1,"3",118,128,0.336640512703477,104,128,0,2,8000
"18","hierarchical",1,"4",117,127,0.330304898368339,109,127,0,2,7250
"19","hierarchical",1,"5",116,126,0.32602261888942,110,127,0,2,6500
"20","hierarchical",1,"6",115,124,0.325958068738634,105,126,0,1,5750
"21","hierarchical",1,"7",114,123,0.330242912850256,104,125,0,1,5000
"22","hierarchical",1,"8",113,122,0.338192551317539,102,122.5,0,1,4250
"23","hierarchical",1,"9",113,121,0.348711968050411,109,123,1,1,3500
"24","hierarchical",1,"10",112,120,0.36008076044252,107,123,1,1,2750
"25","hierarchical",1,"11",111,120,0.372120963169054,105,121,1,2,2000
"26","hierarchical",1,"12",111,119,0.381931756735795,107,121,2,2,1250
"27","hierarchical",1,"13",110,119,0.388693535783558,108,122,2,3,500
"28","independent",2,"1",121,130,0.336372092958381,104,130,1,0,9500
"29","independent",2,"2",120,130,0.321862103789886,101,129,1,1,8750
"30","independent",2,"3",119,128,0.348033877595479,102,128,1,0,8000
"31","independent",2,"4",118,127,0.351001153532939,109,128,1,0,7250
"32","independent",2,"5",116,127,0.325492602841032,100,126,0,1,6500
"33","independent",2,"6",114,126,0.343437949791702,109,125,-1,1,5750
"34","independent",2,"7",115,124,0.348561571009532,103,125,1,0,5000
"35","independent",2,"8",114,126,0.309679991480517,101,125,1,3,4250
"36","independent",2,"9",112,122,0.344809311535813,102,122.5,0,0,3500
"37","independent",2,"10",109,118,0.323785455200067,104,120,-2,-3,2750
"38","independent",2,"11",108,118,0.335009774123127,99,119,-2,-2,2000
"39","independent",2,"12",108,117,0.312903749090562,100,119.5,-1,-2,1250
"40","independent",2,"13",110,121,0.441521682922681,106,120,2,3,500
"41","hierarchical",2,"1",120,130,0.345377068259208,104,130,0,2,9500
"42","hierarchical",2,"2",120,129,0.343423206936414,101,129,1,2,8750
"43","hierarchical",2,"3",119,129,0.340155443904256,102,128,1,3,8000
"44","hierarchical",2,"4",118,128,0.335240322785802,109,128,1,3,7250
"45","hierarchical",2,"5",117,127,0.329930143732131,100,126,1,3,6500
"46","hierarchical",2,"6",115,126,0.325583785783097,109,125,0,3,5750
"47","hierarchical",2,"7",114,125,0.323354640758854,103,125,0,3,5000
"48","hierarchical",2,"8",113,123,0.325124586322673,101,125,0,2,4250
"49","hierarchical",2,"9",112,122,0.330595079024603,102,122.5,0,2,3500
"50","hierarchical",2,"10",110,121,0.339269593917276,104,120,-1,2,2750
"51","hierarchical",2,"11",109,119,0.350787688507144,99,119,-1,1,2000
"52","hierarchical",2,"12",108,118,0.362786357324566,100,119.5,-1,1,1250
"53","hierarchical",2,"13",108,117,0.372905573209587,106,120,0,1,500
"54","independent",3,"1",120,129,0.311450420585232,107,130,0,-1,9500
"55","independent",3,"2",120,130,0.330325678162431,91,129,1,1,8750
"56","independent",3,"3",119,129,0.340208547700613,100,129,1,1,8000
"57","independent",3,"4",117,127,0.33310195507996,97,127,0,0,7250
"58","independent",3,"5",116,126,0.31189492347413,106,126,0,0,6500
"59","independent",3,"6",114,123,0.279814716277756,100,125,-1,-2,5750
"60","independent",3,"7",114,123,0.344603634686527,98,124,0,-1,5000
"61","independent",3,"8",112,120,0.309715758954259,105,124,-1,-3,4250
"62","independent",3,"9",113,123,0.358508522991987,101,123,1,1,3500
"63","independent",3,"10",111,121,0.324923400257736,107,122,0,0,2750
"64","independent",3,"11",107,121,0.286989584300945,95,121,-3,1,2000
"65","independent",3,"12",110,120,0.358002219784542,91,121,1,1,1250
"66","independent",3,"13",106,115,0.329681229378163,105,116,-2,-3,500
"67","hierarchical",3,"1",120,130,0.330106975286234,107,130,0,2,9500
"68","hierarchical",3,"2",119,129,0.326921255541222,91,129,0,2,8750
"69","hierarchical",3,"3",118,128,0.32282575832694,100,129,0,2,8000
"70","hierarchical",3,"4",117,127,0.318996772830084,97,127,0,2,7250
"71","hierarchical",3,"5",116,126,0.316476679049341,106,126,0,2,6500
"72","hierarchical",3,"6",115,125,0.316158445486313,100,125,0,2,5750
"73","hierarchical",3,"7",114,123,0.3193104256043,98,124,0,1,5000
"74","hierarchical",3,"8",113,122,0.325910185444134,105,124,0,1,4250
"75","hierarchical",3,"9",112,121,0.334953924774936,101,123,0,1,3500
"76","hierarchical",3,"10",111,120,0.345372433801821,107,122,0,1,2750
"77","hierarchical",3,"11",110,119,0.355593438445154,95,121,0,1,2000
"78","hierarchical",3,"12",109,118,0.363790679507588,91,121,0,1,1250
"79","hierarchical",3,"13",108,118,0.369121865059719,105,116,0,2,500
"80","independent",4,"1",120,128,0.351086773858755,107,129,0,-2,9500
"81","independent",4,"2",119,128,0.338722961855887,100,129,0,-1,8750
"82","independent",4,"3",117,127,0.335445698919504,105,127,-1,-1,8000
"83","independent",4,"4",116,126,0.320421963261818,100,127,-1,-1,7250
"84","independent",4,"5",116,127,0.359073470587908,102,127,0,1,6500
"85","independent",4,"6",115,123,0.327150480486745,105,125,0,-2,5750
"86","independent",4,"7",114,122,0.360904667694669,102,124,0,-2,5000
"87","independent",4,"8",112,119,0.299870715224118,103,123,-1,-4,4250
"88","independent",4,"9",112,123,0.342535873357626,97,123,0,1,3500
"89","independent",4,"10",111,121,0.353127654139104,100,122,0,0,2750
"90","independent",4,"11",108,119,0.325888366854055,98,119,-2,-1,2000
"91","independent",4,"12",111,121,0.40442126500881,102,120,2,2,1250
"92","independent",4,"13",111,119,0.495406173847408,108,119,3,1,500
"93","hierarchical",4,"1",119,130,0.355176597653653,107,129,-1,2,9500
"94","hierarchical",4,"2",119,129,0.348517147716172,100,129,0,2,8750
"95","hierarchical",4,"3",118,128,0.342691101071848,105,127,0,2,8000
"96","hierarchical",4,"4",117,127,0.338270132321132,100,127,0,2,7250
"97","hierarchical",4,"5",116,125,0.335906488980113,102,127,0,1,6500
"98","hierarchical",4,"6",115,124,0.336815399081357,105,125,0,1,5750
"99","hierarchical",4,"7",114,123,0.340500853229349,102,124,0,1,5000
"100","hierarchical",4,"8",113,122,0.346626012692262,103,123,0,1,4250
"101","hierarchical",4,"9",112,121,0.354368436578874,97,123,0,1,3500
"102","hierarchical",4,"10",111,120,0.362410854036511,100,122,0,1,2750
"103","hierarchical",4,"11",110,119,0.369059319871497,98,119,0,1,2000
"104","hierarchical",4,"12",110,118,0.372395585745319,102,120,1,1,1250
"105","hierarchical",4,"13",109,118,0.371790050329528,108,119,1,2,500
"106","independent",5,"1",120,130,0.313091141459336,105,129,0,0,9500
"107","independent",5,"2",119,130,0.315609141194642,108,129,0,1,8750
"108","independent",5,"3",118,127,0.306455120500364,106,128,0,-1,8000
"109","independent",5,"4",117,127,0.336498293933122,99,127,0,0,7250
"110","independent",5,"5",116,123,0.332506678522678,103,126,0,-3,6500
"111","independent",5,"6",115,124,0.353851388020566,102,125,0,-1,5750
"112","independent",5,"7",114,122,0.385012512000585,107,124,0,-2,5000
"113","independent",5,"8",114,124,0.350446624548419,98,124,1,1,4250
"114","independent",5,"9",113,122,0.360386617374751,101,123,1,0,3500
"115","independent",5,"10",114,121,0.364208588244937,103,122,3,0,2750
"116","independent",5,"11",110,120,0.350570290095674,101,121,0,0,2000
"117","independent",5,"12",110,117,0.382791515119995,105,119,1,-2,1250
"118","independent",5,"13",110,120,0.317361945303997,106,121,2,2,500
"119","hierarchical",5,"1",119,130,0.312762436886411,105,129,-1,2,9500
"120","hierarchical",5,"2",119,129,0.312700338491587,108,129,0,2,8750
"121","hierarchical",5,"3",118,127,0.314170829300453,106,128,0,1,8000
"122","hierarchical",5,"4",117,126,0.318620158397714,99,127,0,1,7250
"123","hierarchical",5,"5",116,125,0.326201453646388,103,126,0,1,6500
"124","hierarchical",5,"6",115,124,0.336770411940295,102,125,0,1,5750
"125","hierarchical",5,"7",115,123,0.349452112387835,107,124,1,1,5000
"126","hierarchical",5,"8",114,122,0.362639393229795,98,124,1,1,4250
"127","hierarchical",5,"9",113,122,0.37445837908831,101,123,1,2,3500
"128","hierarchical",5,"10",112,121,0.385289039720093,103,122,1,2,2750
"129","hierarchical",5,"11",112,120,0.391290156844679,101,121,2,2,2000
"130","hierarchical",5,"12",111,120,0.393165073064914,105,119,2,3,1250
"131","hierarchical",5,"13",111,119,0.389317109708901,106,121,3,3,500
"132","independent",6,"1",121,131,0.304680962959932,101,130,1,1,9500
"133","independent",6,"2",118,127,0.300624130927883,109,129,-1,-2,8750
"134","independent",6,"3",119,128,0.341520815502771,102,128,1,0,8000
"135","independent",6,"4",116,128,0.310037947792874,101,127,-1,1,7250
"136","independent",6,"5",117,127,0.323538835580105,103,127,1,1,6500
"137","independent",6,"6",114,121,0.328831567260616,86,125,-1,-4,5750
"138","independent",6,"7",115,125,0.315936300402387,106,125,1,1,5000
"139","independent",6,"8",115,126,0.348699115065737,107,125,2,3,4250
"140","independent",6,"9",113,122,0.33034732626038,98,123,1,0,3500
"141","independent",6,"10",111,121,0.333377978497488,102,121,0,0,2750
"142","independent",6,"11",110,122,0.333397604901604,102,122,0,2,2000
"143","independent",6,"12",109,118,0.251248065252974,107,121,0,-1,1250
"144","independent",6,"13",109,119,0.296534048401934,107,120,1,1,500
"145","hierarchical",6,"1",120,131,0.325972003559778,101,130,0,3,9500
"146","hierarchical",6,"2",119,130,0.3236819139038,109,129,0,3,8750
"147","hierarchical",6,"3",118,129,0.320060611892499,102,128,0,3,8000
"148","hierarchical",6,"4",117,128,0.316671716135549,101,127,0,3,7250
"149","hierarchical",6,"5",116,126,0.315201301598993,103,127,0,2,6500
"150","hierarchical",6,"6",115,125,0.316677241897937,86,125,0,2,5750
"151","hierarchical",6,"7",114,124,0.32066687318153,106,125,0,2,5000
"152","hierarchical",6,"8",114,123,0.326734008049009,107,125,1,2,4250
"153","hierarchical",6,"9",113,122,0.333946305444737,98,123,1,2,3500
"154","hierarchical",6,"10",112,121,0.34099752775628,102,121,1,2,2750
"155","hierarchical",6,"11",111,120,0.346402145759572,102,122,1,2,2000
"156","hierarchical",6,"12",111,120,0.35021581384312,107,121,2,3,1250
"157","hierarchical",6,"13",110,119,0.351011911959834,107,120,2,3,500
"158","independent",7,"1",120,128,0.352820869883102,105,130,0,-2,9500
"159","independent",7,"2",119,127,0.328617367304517,109,128.5,0,-2,8750
"160","independent",7,"3",118,129,0.323046293561768,103,128,0,1,8000
"161","independent",7,"4",116,126,0.313103223278169,98,127,-1,-1,7250
"162","independent",7,"5",115,127,0.31167567378393,101,126,-1,1,6500
"163","independent",7,"6",116,126,0.358276313461907,101,126,1,1,5750
"164","independent",7,"7",113,122,0.316264305773021,101,125,-1,-2,5000
"165","independent",7,"8",112,121,0.354418250286117,104,123,-1,-2,4250
"166","independent",7,"9",113,120,0.388479939897496,99,122,1,-2,3500
"167","independent",7,"10",109,122,0.280690527026805,102,120,-2,1,2750
"168","independent",7,"11",110,118,0.381242012052175,100,119,0,-2,2000
"169","independent",7,"12",111,119,0.362942629988054,101,120,2,0,1250
"170","independent",7,"13",109,122,0.359558882476599,107,118.5,1,4,500
"171","hierarchical",7,"1",119,130,0.34133899264968,105,130,-1,2,9500
"172","hierarchical",7,"2",119,129,0.334531675320685,109,128.5,0,2,8750
"173","hierarchical",7,"3",118,128,0.32825444549457,103,128,0,2,8000
"174","hierarchical",7,"4",117,127,0.32336947708531,98,127,0,2,7250
"175","hierarchical",7,"5",116,126,0.320790019048826,101,126,0,2,6500
"176","hierarchical",7,"6",115,124,0.32229249131846,101,126,0,1,5750
"177","hierarchical",7,"7",114,123,0.32759411041425,101,125,0,1,5000
"178","hierarchical",7,"8",113,122,0.336127226452592,104,123,0,1,4250
"179","hierarchical",7,"9",112,121,0.346924512139377,99,122,0,1,3500
"180","hierarchical",7,"10",111,120,0.358361170299952,102,120,0,1,2750
"181","hierarchical",7,"11",110,119,0.368206002864668,100,119,0,1,2000
"182","hierarchical",7,"12",110,118,0.374008220144335,101,120,1,1,1250
"183","hierarchical",7,"13",109,118,0.374064950305326,107,118.5,1,2,500
"184","independent",8,"1",120,128,0.32232429248733,105,129,0,-2,9500
"185","independent",8,"2",120,129,0.357820402575584,103,129,1,0,8750
"186","independent",8,"3",119,127,0.339549608567126,103,128,1,-1,8000
"187","independent",8,"4",117,125,0.329509097157815,99,127,0,-2,7250
"188","independent",8,"5",115,126,0.293010742001473,106,126,-1,0,6500
"189","independent",8,"6",117,126,0.328358812073607,106,126,2,1,5750
"190","independent",8,"7",116,126,0.32861650066687,105,125,2,2,5000
"191","independent",8,"8",113,125,0.304263103756569,106,124,0,2,4250
"192","independent",8,"9",113,124,0.346120528481803,99,123,1,2,3500
"193","independent",8,"10",111,122,0.306181776760347,99,122,0,1,2750
"194","independent",8,"11",111,121,0.318139917018865,97,121,1,1,2000
"195","independent",8,"12",107,116,0.296386056262552,103,118,-2,-3,1250
"196","independent",8,"13",108,118,0.406092558498699,102,117,0,0,500
"197","hierarchical",8,"1",120,130,0.347985502595633,105,129,0,2,9500
"198","hierarchical",8,"2",120,129,0.34679207988217,103,129,1,2,8750
"199","hierarchical",8,"3",119,128,0.342636884786084,103,128,1,2,8000
"200","hierarchical",8,"4",118,127,0.336935678236661,99,127,1,2,7250
"201","hierarchical",8,"5",117,126,0.330903901785703,106,126,1,2,6500
"202","hierarchical",8,"6",116,125,0.325513734273353,106,126,1,2,5750
"203","hierarchical",8,"7",115,124,0.321590836512427,105,125,1,2,5000
"204","hierarchical",8,"8",114,123,0.319623006652247,106,124,1,2,4250
"205","hierarchical",8,"9",113,122,0.319692015645093,99,123,1,2,3500
"206","hierarchical",8,"10",112,121,0.321445405666283,99,122,1,2,2750
"207","hierarchical",8,"11",110,120,0.324056946902785,97,121,0,2,2000
"208","hierarchical",8,"12",109,120,0.326751774402238,103,118,0,3,1250
"209","hierarchical",8,"13",109,119,0.328725740439736,102,117,1,3,500
"210","independent",9,"1",119,129,0.332363877419157,97,129,-1,-1,9500
"211","independent",9,"2",118,128,0.324073600610374,103,129,-1,-1,8750
"212","independent",9,"3",117,126,0.28446006046776,103,128,-1,-2,8000
"213","independent",9,"4",117,126,0.319930514844017,105,127,0,-1,7250
"214","independent",9,"5",116,125,0.335020862347567,108,126,0,-1,6500
"215","independent",9,"6",116,125,0.349539230871281,104,125,1,0,5750
"216","independent",9,"7",113,122,0.319704784641249,104,125,-1,-2,5000
"217","independent",9,"8",112,125,0.304134971694751,102,124,-1,2,4250
"218","independent",9,"9",112,126,0.35042032610303,98,124,0,4,3500
"219","independent",9,"10",111,121,0.301905900282472,101,122,0,0,2750
"220","independent",9,"11",111,116,0.345858964953291,108,121,1,-4,2000
"221","independent",9,"12",109,120,0.313790318015272,104,120,0,1,1250
"222","independent",9,"13",108,116,0.423708806692669,105,116.5,0,-2,500
"223","hierarchical",9,"1",119,129,0.328871033336103,97,129,-1,1,9500
"224","hierarchical",9,"2",119,128,0.328009196539085,103,129,0,1,8750
"225","hierarchical",9,"3",118,127,0.326431992294264,103,128,0,1,8000
"226","hierarchical",9,"4",117,127,0.324770434091319,105,127,0,2,7250
"227","hierarchical",9,"5",116,126,0.323529051465762,108,126,0,2,6500
"228","hierarchical",9,"6",115,125,0.322920193686424,104,125,0,2,5750
"229","hierarchical",9,"7",114,124,0.323275609654013,104,125,0,2,5000
"230","hierarchical",9,"8",113,123,0.324662546445988,102,124,0,2,4250
"231","hierarchical",9,"9",112,122,0.32692083907446,98,124,0,2,3500
"232","hierarchical",9,"10",111,121,0.329640957720519,101,122,0,2,2750
"233","hierarchical",9,"11",110,120,0.332035564941084,108,121,0,2,2000
"234","hierarchical",9,"12",110,119,0.332984473974543,104,120,1,2,1250
"235","hierarchical",9,"13",109,118,0.331283096944879,105,116.5,1,2,500
"236","independent",10,"1",121,130,0.346890374375886,101,130,1,0,9500
"237","independent",10,"2",119,128,0.31717288904307,105,128,0,-1,8750
"238","independent",10,"3",119,127,0.378933708428089,101,128,1,-1,8000
"239","independent",10,"4",117,129,0.334621337957709,107,127,0,2,7250
"240","independent",10,"5",116,126,0.350808044933728,104,126,0,0,6500
"241","independent",10,"6",117,125,0.325556700901505,106,126,2,0,5750
"242","independent",10,"7",115,122,0.362286399557326,106,124,1,-2,5000
"243","independent",10,"8",114,123,0.323139432586108,100,124,1,0,4250
"244","independent",10,"9",111,123,0.316464847751275,84,123,-1,1,3500
"245","independent",10,"10",113,121,0.327330309946687,105,122,2,0,2750
"246","independent",10,"11",110,118,0.366738400138463,101,120,0,-2,2000
"247","independent",10,"12",110,119,0.374833764101399,96,120,1,0,1250
"248","independent",10,"13",104,112,0.251950405866021,90,113.5,-4,-6,500
"249","hierarchical",10,"1",120,130,0.345985203912441,101,130,0,2,9500
"250","hierarchical",10,"2",119,129,0.346275163431169,105,128,0,2,8750
"251","hierarchical",10,"3",118,128,0.344176832274358,101,128,0,2,8000
"252","hierarchical",10,"4",117,127,0.340727545016571,107,127,0,2,7250
"253","hierarchical",10,"5",117,126,0.336950572948326,104,126,1,2,6500
"254","hierarchical",10,"6",116,125,0.333883560823143,106,126,1,2,5750
"255","hierarchical",10,"7",115,124,0.332389825784198,106,124,1,2,5000
"256","hierarchical",10,"8",114,123,0.333019803713636,100,124,1,2,4250
"257","hierarchical",10,"9",113,122,0.33594709963223,84,123,1,2,3500
"258","hierarchical",10,"10",112,121,0.340922463674348,105,122,1,2,2750
"259","hierarchical",10,"11",111,120,0.347269807268319,101,120,1,2,2000
"260","hierarchical",10,"12",110,119,0.353944132474402,96,120,1,2,1250
