"","model","sim","mean_diff_hm","mean_diff_max","trend_hm","trend_max"
"2","independent",1,-0.615384615384615,-0.461538461538462,-1.07142857142857,-0.741758241758245
"3","hierarchical",1,-0.615384615384615,-0.769230769230769,-0.983516483516485,-0.769230769230773
"4","independent",2,-0.230769230769231,0,-0.917582417582418,-0.609890109890114
"5","hierarchical",2,-0.307692307692308,-0.538461538461538,-0.70879120879121,-0.763736263736268
"6","independent",3,0,-0.307692307692308,-0.93956043956044,-0.840659340659345
"7","hierarchical",3,-0.307692307692308,-1.15384615384615,-0.780219780219781,-0.697802197802203
"8","independent",4,-0.307692307692308,-0.0769230769230769,-0.923076923076924,-0.697802197802202
"9","hierarchical",4,-0.230769230769231,-0.461538461538462,-0.807692307692308,-0.670329670329673
"10","independent",5,3.15384615384615,4.46153846153846,0.697802197802196,1.35164835164835
"11","hierarchical",5,-0.923076923076923,-1.15384615384615,-0.906593406593405,-0.824175824175826
"12","independent",6,-0.615384615384615,-0.923076923076923,-1.20879120879121,-0.950549450549453
"13","hierarchical",6,-0.538461538461538,-1.15384615384615,-1.01648351648352,-0.75824175824176
"14","independent",7,0,0.0769230769230769,-1.18131868131868,-0.890109890109892
"15","hierarchical",7,0.153846153846154,0.230769230769231,-1.14835164835165,-0.912087912087916
"16","independent",8,-0.461538461538462,-0.615384615384615,-0.862637362637359,-0.829670329670335
"17","hierarchical",8,-0.769230769230769,-0.846153846153846,-0.978021978021978,-0.769230769230771
"18","independent",9,-0.307692307692308,0,-0.93956043956044,-0.648351648351648
"19","hierarchical",9,-0.307692307692308,-0.692307692307692,-0.747252747252748,-0.747252747252753
"20","independent",10,-0.846153846153846,-0.384615384615385,-1.10989010989011,-0.829670329670332
"21","hierarchical",10,-0.384615384615385,-0.538461538461538,-0.824175824175826,-0.791208791208795
"22","independent",11,-0.461538461538462,0.0769230769230769,-1.17032967032967,-0.780219780219783
"23","hierarchical",11,-0.153846153846154,-1,-0.912087912087911,-0.934065934065941
"24","independent",12,-0.615384615384615,-0.461538461538462,-1.18681318681319,-0.868131868131868
"25","hierarchical",12,0.230769230769231,-0.461538461538462,-0.76923076923077,-0.620879120879124
"26","independent",13,0.0769230769230769,1,-1.03296703296703,-0.258241758241758
"27","hierarchical",13,-0.0769230769230769,-0.384615384615385,-0.967032967032968,-0.868131868131873
"28","independent",14,-1.38461538461538,-0.692307692307692,-1.37912087912088,-1.06043956043956
"29","hierarchical",14,-0.538461538461538,-1,-1.01648351648352,-0.785714285714286
"30","independent",15,-0.0769230769230769,-1.23076923076923,-0.994505494505496,-1.07142857142857
"31","hierarchical",15,-0.538461538461538,-1.38461538461538,-0.97252747252747,-0.956043956043961
"32","independent",16,0,2,-0.87912087912088,0.0989010989010987
"33","hierarchical",16,-0.230769230769231,-1,-0.934065934065934,-0.906593406593413
"34","independent",17,-0.461538461538462,-0.692307692307692,-1.02197802197803,-0.950549450549457
"35","hierarchical",17,-0.615384615384615,-1,-0.824175824175822,-0.879120879120886
"36","independent",18,-0.461538461538462,0.0769230769230769,-0.934065934065937,-0.802197802197805
"37","hierarchical",18,-0.153846153846154,-0.0769230769230769,-0.697802197802196,-0.670329670329674
"38","independent",19,-0.538461538461538,-0.692307692307692,-1.03846153846154,-1.08791208791209
"39","hierarchical",19,-0.615384615384615,-0.923076923076923,-1.06593406593407,-1.02747252747252
"40","independent",20,-0.923076923076923,-0.384615384615385,-1.08791208791209,-0.934065934065933
"41","hierarchical",20,-0.307692307692308,-0.769230769230769,-0.884615384615385,-0.769230769230773
"42","independent",21,-0.153846153846154,0.538461538461538,-1.01098901098901,-0.774725274725278
"43","hierarchical",21,-0.307692307692308,0.538461538461538,-0.967032967032968,-0.840659340659343
"44","independent",22,0,-0.615384615384615,-0.950549450549451,-0.945054945054947
"45","hierarchical",22,-0.153846153846154,-0.769230769230769,-0.884615384615383,-0.774725274725282
"46","independent",23,-0.692307692307692,-0.769230769230769,-1.10439560439561,-0.989010989010989
"47","hierarchical",23,-0.615384615384615,-1.07692307692308,-1.02197802197802,-0.967032967032972
"48","independent",24,-0.769230769230769,-1.07692307692308,-1.12087912087912,-0.945054945054953
"49","hierarchical",24,-0.615384615384615,-1.46153846153846,-1.02197802197802,-1.03846153846154
"50","independent",25,0.692307692307692,4.46153846153846,-0.417582417582418,1.19780219780219
"51","hierarchical",25,-0.923076923076923,-1.30769230769231,-0.967032967032966,-1.05494505494506
"52","independent",26,-0.307692307692308,-0.692307692307692,-1.08791208791209,-0.906593406593406
"53","hierarchical",26,-0.307692307692308,-0.461538461538462,-0.978021978021979,-0.840659340659343
"54","independent",27,-0.692307692307692,-0.153846153846154,-0.972527472527475,-0.719780219780225
"55","hierarchical",27,-0.538461538461538,-0.615384615384615,-0.994505494505492,-0.824175824175826
"56","independent",28,0.692307692307692,0.538461538461538,-0.692307692307693,-0.412087912087915
"57","hierarchical",28,0.230769230769231,-0.153846153846154,-0.736263736263737,-0.648351648351654
"58","independent",29,0.230769230769231,2.76923076923077,-0.802197802197803,0.390109890109887
"59","hierarchical",29,-0.230769230769231,-0.384615384615385,-0.851648351648351,-0.637362637362639
"60","independent",30,-0.538461538461538,-0.538461538461538,-1.07692307692308,-1.01648351648352
"61","hierarchical",30,-0.461538461538462,-0.538461538461538,-1.03846153846154,-0.829670329670334
"62","independent",31,-0.615384615384615,-0.538461538461538,-1.13736263736264,-0.890109890109894
"63","hierarchical",31,-0.307692307692308,-0.692307692307692,-0.884615384615385,-0.725274725274731
"64","independent",32,-1.07692307692308,-0.615384615384615,-1.22527472527473,-0.862637362637368
"65","hierarchical",32,-0.692307692307692,-0.769230769230769,-0.945054945054944,-0.769230769230773
"66","independent",33,-0.461538461538462,-1,-1.04945054945055,-0.989010989010989
"67","hierarchical",33,-0.846153846153846,-1.38461538461538,-0.939560439560438,-1.02197802197802
"68","independent",34,0.0769230769230769,4.69230769230769,-1.02197802197802,0.917582417582416
"69","hierarchical",34,0.384615384615385,0.230769230769231,-0.824175824175826,-0.692307692307696
"70","independent",35,-0.153846153846154,1.61538461538462,-0.873626373626372,-0.0934065934065923
"71","hierarchical",35,-0.384615384615385,-0.846153846153846,-0.824175824175826,-0.785714285714294
"72","independent",36,-1,-0.615384615384615,-1.14835164835165,-0.999999999999998
"73","hierarchical",36,-0.615384615384615,-0.769230769230769,-0.824175824175826,-0.774725274725282
"74","independent",37,-0.846153846153846,-0.538461538461538,-1.19230769230769,-0.928571428571433
"75","hierarchical",37,-0.461538461538462,-0.692307692307692,-1.01648351648352,-0.967032967032966
