"","model","sim","mean_diff_hm","mean_diff_max","trend_hm","trend_max"
"2","independent",1,0.153846153846154,-0.461538461538462,-0.917582417582419,-0.994505494505496
"3","hierarchical",1,0.538461538461538,1.69230769230769,-0.829670329670333,-0.994505494505497
"4","independent",2,0.153846153846154,0.153846153846154,-1.12637362637363,-1.07692307692308
"5","hierarchical",2,0.0769230769230766,2.15384615384615,-1.14285714285714,-1.13736263736264
"6","independent",3,-0.230769230769231,-0.384615384615385,-1.14285714285714,-1.06043956043956
"7","hierarchical",3,0,1.53846153846154,-1,-1.08241758241758
"8","independent",4,0,-0.692307692307692,-0.857142857142856,-0.813186813186814
"9","hierarchical",4,0.0769230769230766,1.38461538461539,-0.906593406593404,-1.06593406593407
"10","independent",5,0.615384615384615,-0.384615384615385,-0.840659340659344,-0.950549450549453
"11","hierarchical",5,0.76923076923077,1.69230769230769,-0.736263736263736,-0.890109890109893
"12","independent",6,0.384615384615385,0.230769230769231,-0.96153846153846,-0.917582417582421
"13","hierarchical",6,0.615384615384615,2.46153846153846,-0.824175824175828,-1.03846153846154
"14","independent",7,-0.0769230769230769,-0.384615384615385,-0.917582417582419,-0.82967032967033
"15","hierarchical",7,0.0769230769230766,1.46153846153846,-0.906593406593404,-1.07692307692308
"16","independent",8,0.384615384615385,0.0769230769230769,-1.07142857142857,-0.895604395604395
"17","hierarchical",8,0.76923076923077,2.15384615384615,-1.01648351648352,-0.939560439560443
"18","independent",9,-0.230769230769231,-0.538461538461538,-0.906593406593405,-0.939560439560439
"19","hierarchical",9,0.0769230769230766,1.76923076923077,-0.906593406593404,-0.917582417582421
"20","independent",10,0.307692307692308,-0.692307692307692,-1.14285714285714,-1.21428571428571
"21","hierarchical",10,0.692307692307692,2,-0.9010989010989,-1
"22","independent",11,0.0769230769230769,-0.307692307692308,-1,-1.08241758241758
"23","hierarchical",11,0.23076923076923,1.69230769230769,-0.917582417582418,-1.05494505494506
"24","independent",12,-0.230769230769231,-1,-1.02197802197802,-1.12637362637362
"25","hierarchical",12,0.0769230769230766,1.61538461538461,-0.857142857142854,-1.05494505494506
"26","independent",13,0.0769230769230769,-0.769230769230769,-1.12637362637363,-1.11538461538461
"27","hierarchical",13,0.0769230769230766,1.53846153846154,-0.967032967032968,-1.08241758241758
"28","independent",14,0.153846153846154,-1.23076923076923,-0.956043956043959,-0.923076923076926
"29","hierarchical",14,0.461538461538462,1.38461538461539,-0.851648351648351,-0.868131868131868
"30","independent",15,-0.230769230769231,0.230769230769231,-1.0934065934066,-0.747252747252748
"31","hierarchical",15,0.307692307692308,1.23076923076923,-0.901098901098902,-0.917582417582418
"32","independent",16,-0.230769230769231,-1.23076923076923,-1.04395604395604,-1.0989010989011
"33","hierarchical",16,0.153846153846153,1.53846153846154,-0.824175824175825,-1.04945054945055
"34","independent",17,-0.307692307692308,-0.384615384615385,-1.01098901098901,-1.06043956043956
"35","hierarchical",17,0.153846153846153,2,-0.939560439560441,-1
"36","independent",18,0.538461538461538,0.0769230769230769,-0.972527472527475,-1.23626373626374
"37","hierarchical",18,0.692307692307692,2.46153846153846,-0.824175824175827,-1.03846153846154
"38","independent",19,0,-1.30769230769231,-1.03846153846154,-1.04945054945055
"39","hierarchical",19,0,1.61538461538461,-1,-1
"40","independent",20,0.384615384615385,-0.538461538461538,-1.07142857142857,-1.13736263736264
"41","hierarchical",20,0.692307692307692,2,-0.9010989010989,-1
"42","independent",21,0.461538461538462,0.307692307692308,-0.934065934065933,-1.17032967032967
"43","hierarchical",21,0.384615384615385,2.07692307692308,-0.890109890109889,-1.06593406593407
"44","independent",22,0.692307692307692,-0.461538461538462,-0.934065934065937,-0.758241758241756
"45","hierarchical",22,-1.69230769230769,-0.846153846153847,-0.109890109890111,-0.115384615384617
"46","independent",23,0.384615384615385,-0.0769230769230769,-1.06593406593406,-0.730769230769234
"47","hierarchical",23,0.76923076923077,2.15384615384615,-0.917582417582418,-0.939560439560443
"48","independent",24,0.0769230769230769,-1.15384615384615,-1.06593406593406,-0.967032967032968
